Berlin;Berlin;52.5200;13.4050;Germany;DE;DEU;Berlin;primary;4473101;1276451290
Stuttgart;Stuttgart;48.7775;9.1800;Germany;DE;DEU;Baden-Württemberg;admin;2787724;1276171358
Munich;Munich;48.1375;11.5750;Germany;DE;DEU;Bavaria;admin;2606021;1276692352
Hamburg;Hamburg;53.5500;10.0000;Germany;DE;DEU;Hamburg;admin;2484800;1276041799
Cologne;Cologne;50.9364;6.9528;Germany;DE;DEU;North Rhine-Westphalia;;1083498;1276015998
Frankfurt;Frankfurt;50.1106;8.6822;Germany;DE;DEU;Hesse;minor;764104;1276054552
Düsseldorf;Dusseldorf;51.2333;6.7833;Germany;DE;DEU;North Rhine-Westphalia;admin;645923;1276615258
Leipzig;Leipzig;51.3400;12.3750;Germany;DE;DEU;Saxony;minor;615081;1276563678
Dortmund;Dortmund;51.5167;7.4667;Germany;DE;DEU;North Rhine-Westphalia;minor;587696;1276562886
Essen;Essen;51.4508;7.0131;Germany;DE;DEU;North Rhine-Westphalia;minor;582415;1276769247
Bremen;Bremen;53.0833;8.8000;Germany;DE;DEU;Bremen;admin;566573;1276376509
Dresden;Dresden;51.0500;13.7400;Germany;DE;DEU;Saxony;admin;561922;1276561036
Hannover;Hannover;52.3667;9.7167;Germany;DE;DEU;Lower Saxony;admin;542668;1276457707
Nuremberg;Nuremberg;49.4539;11.0775;Germany;DE;DEU;Bavaria;minor;515543;1276166609
Duisburg;Duisburg;51.4347;6.7625;Germany;DE;DEU;North Rhine-Westphalia;minor;495885;1276977172
Bochum;Bochum;51.4819;7.2158;Germany;DE;DEU;North Rhine-Westphalia;minor;364454;1276227288
Wuppertal;Wuppertal;51.2667;7.1833;Germany;DE;DEU;North Rhine-Westphalia;minor;355004;1276004611
Bielefeld;Bielefeld;52.0211;8.5347;Germany;DE;DEU;North Rhine-Westphalia;minor;334002;1276112885
Bonn;Bonn;50.7333;7.1000;Germany;DE;DEU;North Rhine-Westphalia;minor;331885;1276807850
Münster;Munster;51.9625;7.6256;Germany;DE;DEU;North Rhine-Westphalia;minor;317713;1276714504
Mannheim;Mannheim;49.4878;8.4661;Germany;DE;DEU;Baden-Württemberg;minor;311831;1276150104
Karlsruhe;Karlsruhe;49.0092;8.4040;Germany;DE;DEU;Baden-Württemberg;minor;308436;1276923210
Augsburg;Augsburg;48.3689;10.8978;Germany;DE;DEU;Bavaria;minor;296478;1276314100
Wiesbaden;Wiesbaden;50.0825;8.2400;Germany;DE;DEU;Hesse;admin;278950;1276652118
Gelsenkirchen;Gelsenkirchen;51.5167;7.1000;Germany;DE;DEU;North Rhine-Westphalia;minor;260126;1276788537
Mönchengladbach;Monchengladbach;51.2000;6.4333;Germany;DE;DEU;North Rhine-Westphalia;minor;261001;1276982173
Aachen;Aachen;50.7756;6.0836;Germany;DE;DEU;North Rhine-Westphalia;minor;249070;1276805572
Braunschweig;Braunschweig;52.2667;10.5167;Germany;DE;DEU;Lower Saxony;minor;248823;1276941443
Chemnitz;Chemnitz;50.8333;12.9167;Germany;DE;DEU;Saxony;minor;248042;1276519956
Kiel;Kiel;54.3233;10.1394;Germany;DE;DEU;Schleswig-Holstein;admin;246601;1276305306
Halle;Halle;51.4828;11.9697;Germany;DE;DEU;Saxony-Anhalt;minor;238061;1276167077
Magdeburg;Magdeburg;52.1317;11.6392;Germany;DE;DEU;Saxony-Anhalt;admin;236188;1276418236
Freiburg im Breisgau;Freiburg im Breisgau;47.9950;7.8500;Germany;DE;DEU;Baden-Württemberg;minor;231848;1276371228
Krefeld;Krefeld;51.3333;6.5667;Germany;DE;DEU;North Rhine-Westphalia;minor;227050;1276149829
Mainz;Mainz;49.9833;8.2667;Germany;DE;DEU;Rhineland-Palatinate;admin;217556;1276801317
Lübeck;Lubeck;53.8697;10.6864;Germany;DE;DEU;Schleswig-Holstein;minor;216277;1276852342
Erfurt;Erfurt;50.9833;11.0333;Germany;DE;DEU;Thuringia;admin;213835;1276924655
Oberhausen;Oberhausen;51.4967;6.8706;Germany;DE;DEU;North Rhine-Westphalia;minor;209566;1276448936
Rostock;Rostock;54.0833;12.1333;Germany;DE;DEU;Mecklenburg-Western Pomerania;;209061;1276210265
Kassel;Kassel;51.3158;9.4979;Germany;DE;DEU;Hesse;minor;201048;1276791686
Hagen;Hagen;51.3667;7.4833;Germany;DE;DEU;North Rhine-Westphalia;minor;188713;1276389303
Potsdam;Potsdam;52.4000;13.0667;Germany;DE;DEU;Brandenburg;admin;183154;1276395100
Saarbrücken;Saarbrucken;49.2333;7.0000;Germany;DE;DEU;Saarland;admin;179634;1276419711
Hamm;Hamm;51.6833;7.8167;Germany;DE;DEU;North Rhine-Westphalia;minor;179238;1276808737
Ludwigshafen;Ludwigshafen;49.4811;8.4353;Germany;DE;DEU;Rhineland-Palatinate;minor;172557;1276912330
Mülheim;Mulheim;51.4275;6.8825;Germany;DE;DEU;North Rhine-Westphalia;minor;170921;1276676856
Oldenburg;Oldenburg;53.1439;8.2139;Germany;DE;DEU;Lower Saxony;minor;170389;1276946953
Osnabrück;Osnabruck;52.2833;8.0500;Germany;DE;DEU;Lower Saxony;minor;165034;1276554949
Leverkusen;Leverkusen;51.0333;6.9833;Germany;DE;DEU;North Rhine-Westphalia;minor;163851;1276002465
Solingen;Solingen;51.1667;7.0833;Germany;DE;DEU;North Rhine-Westphalia;minor;159360;1276728190
Darmstadt;Darmstadt;49.8722;8.6528;Germany;DE;DEU;Hesse;minor;159631;1276607395
Heidelberg;Heidelberg;49.4167;8.7167;Germany;DE;DEU;Baden-Württemberg;minor;159245;1276519742
Herne;Herne;51.5500;7.2167;Germany;DE;DEU;North Rhine-Westphalia;minor;156621;1276656117
Regensburg;Regensburg;49.0167;12.0833;Germany;DE;DEU;Bavaria;minor;153542;1276000325
Neuss;Neuss;51.2000;6.7000;Germany;DE;DEU;North Rhine-Westphalia;minor;153796;1276075502
Paderborn;Paderborn;51.7181;8.7542;Germany;DE;DEU;North Rhine-Westphalia;minor;152531;1276339087
Ingolstadt;Ingolstadt;48.7631;11.4250;Germany;DE;DEU;Bavaria;minor;138016;1276803150
